University,Total publications per year,Community size,Number of publications per professor per year,Average impact factor,link
University of Tokyo,2003,37,5.414,6.055,https://bioeng.t.u-tokyo.ac.jp/en/faculty/
Peking University,1649,25,6.596,8.096,https://future.pku.edu.cn/en/js/Faculty/index.htm
Massachusetts Institute of Technology,2695,43,6.267,11.591,https://be.mit.edu/faculty/?exposed_search&exposed_taxonomy_role%5B0%5D=35&exposed_taxonomy_role%5B1%5D=34&exposed_taxonomy_role%5B2%5D=32
Shanghai Jiao Tong University,6657,93,7.158,6.229,https://en.bme.sjtu.edu.cn/lists-faculty.html
University of California San Francisco,3158,57,5.54,9.357,https://bts.ucsf.edu/people/faculty
Johns Hopkins University,6527,128,5.099,7.1,https://www.bme.jhu.edu/people/faculty/
University of Sydney,520,28,1.857,6.563,https://www.sydney.edu.au/engineering/schools/school-of-biomedical-engineering/academic-staff.html
Georgia Institute of Technology,5366,154,3.484,6.855,https://bioengineering.gatech.edu/program-faculty
University of California San Diego,5076,99,5.127,9.995,https://be.ucsd.edu/faculty
University of Oxford,883,22,4.014,6.653,https://ibme.ox.ac.uk/people/directory/?role=ac
Columbia University,2063,53,3.892,7.809,https://www.bme.columbia.edu/directory?gsarqfields%5Bbiotypetid%5D=30
ETH Zurich,481,6,8.017,5.893,https://biomed.ee.ethz.ch/institute/People/principal-investigators.html
Nanyang Technological University,1060,26,4.077,8.307,https://www.ntu.edu.sg/cceb/faculty-and-staff/chemical-engineering
University College London,501,22,2.277,5.215,https://www.ucl.ac.uk/biochemical-engineering/people/academics
University of Cambridge,941,42,2.24,9.588,https://www.eng.cam.ac.uk/people/strategic-research-theme/181?field_user_surname_value_1=&field_user_list_category_tid=216
University of Pittsburgh,6798,176,3.862,5.781,https://www.engineering.pitt.edu/departments/bioengineering/people/faculty-research-interests/
Tsinghua University,1442,21,6.867,5.51,https://www.med.tsinghua.edu.cn/en/Faculty/DepartmentofBiomedicalEngineering.htm
Northwestern University,1521,31,4.906,7.393,https://www.mccormick.northwestern.edu/biomedical/people/faculty/
Duke University,2839,81,3.505,7.133,https://bme.duke.edu/faculty
University of Washington,2656,50,5.312,6.518,https://bioe.uw.edu/faculty-staff/core-faculty/
Harvard University,757,12,6.308,10.955,https://seas.harvard.edu/bioengineering/people?role%5B46%5D=46
University of California Berkeley,1283,29,4.424,9.066,https://bioeng.berkeley.edu/people
McGill University,458,17,2.694,6.569,https://www.mcgill.ca/bioengineering/people
University of British Columbia,6673,85,7.851,6.164,https://bme.ubc.ca/people/?custom_cat=faculty
National University of Singapore,983,26,3.781,7.537,https://cde.nus.edu.sg/bme/about-us/people/academic-staff/?category=academic-3&search&sort=ASC
University of California Los Angeles,4103,83,4.943,8.167,https://samueli.ucla.edu/search-faculty/#be
University of Pennsylvania,2555,60,4.258,8.211,https://directory.seas.upenn.edu/bioengineering/
University of Hong Kong,437,12,3.642,5.796,https://www.engineering.hku.hk/bmeengg/people-faculty/
University of Michigan,3591,81,4.433,6.051,https://bme.umich.edu/role/core/
Cornell University,1097,33,3.324,7.007,https://www.bme.cornell.edu/bme/faculty-directory
Stanford University,1789,32,5.591,12.233,https://bioengineering.stanford.edu/people/faculty
Rice University,697,24,2.904,8.352,https://bioengineering.rice.edu/people
Carnegie Mellon University,1144,58,1.972,6.598,https://www.cmu.edu/bme/People/Faculty/index.html
Imperial College London,1820,55,3.309,6.797,https://www.imperial.ac.uk/bioengineering/people/academic-staff-and-research-fellows/
University of Toronto,3404,80,4.255,6.516,https://bme.utoronto.ca/faculty-research/core-faculty/
