,Medical Imaging,Stem Cell Engineering,Clinical Medicine,Genetics,Cancer Research,Drug Delivery,Public Health,Neurology,Tissue Engineering,Animal Model,Epidemiology,Cell Biologies,Bone Marrow Regeneration,Brain Machine Interface,Spinal Injury & Rehabilitation,Musculoskeletal Regeneration,Machine Learning,Covid-19,Aging,Cardiac Engineering
University of Tokyo,9.994252377716801,82.96552765216249,36.55610718295965,54.94781603478133,52.47818536910741,79.29683342351763,16.83635356971809,19.845323586412185,39.86735718263552,61.293316372922455,4.745272176834588,119.80104700017971,13.78284245576712,20.490116173892112,9.600889048165282,10.436249775810655,42.61292952969055,34.70507098248682,30.274883645860545,20.766651302842067
Peking University,21.045036828930336,114.49850762483916,26.076708476584088,64.0997826847911,63.22773358564848,68.07459885923463,17.08639122484545,42.27065162580474,21.27040863199349,133.52670286081917,8.247146595340645,109.2687850596416,10.420836774780167,33.00845943620129,15.200742011182442,18.341116899712105,32.86430321397062,28.230577497918937,29.170365867080946,73.07919622871734
Massachusetts Institute of Technology,23.210780771087187,374.0561335545624,59.701015869498775,459.16050778010055,185.14647431258499,239.8694112177175,95.56960770357534,75.1244478981626,69.61934079000704,239.00184781779203,20.015180280787696,280.53476252339493,15.402596420948983,100.07088585082015,12.38906235193198,29.089819644362173,212.0918169679677,286.93096102803725,36.70897445538788,51.58159693798372
Shanghai Jiao Tong University,37.474724801815796,214.91907231179295,148.3172088728308,158.7303331386349,170.1087581585569,190.88220415083796,60.34765983592457,63.388184227237204,68.54198645873014,256.95230117793506,32.46629275914956,177.40696231925412,52.56772283701452,98.9780565198004,45.59841343507173,26.83987596210715,178.34113110740054,102.87150930129964,173.03812913106603,96.39955636783984
University of California San Francisco,14.740044523698472,297.40419422648887,81.11658095384547,279.6630588102154,134.87235857622662,97.38897715308444,97.52072847873526,71.1513602085107,76.5686816593244,175.17310659228895,34.33969845922216,412.76970404853114,41.145374943831364,82.1281975507667,21.863350612915482,20.85435651406047,238.69140910870394,266.03703267174836,98.16889280661147,38.83494728733413
Johns Hopkins University,66.65590847596775,442.5679568644321,194.88640141420365,378.89711376846196,251.6763199347894,143.1312152331922,147.68202965674723,147.87306380336346,158.18116513828033,255.21740894120626,45.00335001416815,211.90879352982103,55.033154821820695,192.8467348564248,67.00156417869792,75.072963209832,352.2408990526934,136.49949252270167,169.87761693963378,230.01295301884727
University of Sydney,2.7033321115370366,17.7776787229424,7.391488268577994,6.5334441669099474,3.4126476445368774,29.16375915992677,6.810899607085448,9.82143599833575,23.43762739993998,9.205349758294965,1.7490383378521677,13.060661827656046,39.24163075371918,16.04682713290207,2.3036531438887087,3.1916018226642473,18.19056487585329,4.352288627119821,9.110937111994247,5.976219204189142
Georgia Institute of Technology,38.85937745747685,353.8313183046082,99.34866339720932,152.13918140451239,116.88488389394426,356.742832459061,133.27983201162954,140.97589588832608,130.20948257790752,242.01749309734265,48.49439546153238,212.46923522700672,47.7201507159511,166.97304843527422,53.88377196673081,109.33875690487315,291.51845193481176,234.79955820758644,112.55394618701591,231.12044530425618
University of California San Diego,41.90502457075378,757.3280649855859,89.42347365570531,728.5141806325926,232.07997804174016,235.42732901425603,141.34399718522985,171.22615970298284,153.91692951021727,415.5860574021306,33.16039571080854,509.16404237052666,57.75121778612876,176.0212830186921,55.227305231121846,79.81107739036077,394.90833011296917,302.9461847071355,112.98147148025606,220.6332359277285
University of Oxford,9.623133116968246,12.396033845141766,39.51549389743164,8.409275680009198,13.94215757397223,29.57120083200695,26.273868179581708,11.257281154274207,10.330704639571904,14.431786374531434,8.693871291206065,10.111005317128825,3.343968537970552,15.414882981394328,16.503884441320178,3.888936365263986,100.47555070422125,18.833777231069043,22.9207208386891,25.82991884279135
Columbia University,27.454986024603617,165.4010983009452,62.351488563761876,101.4907645942846,71.24406488466425,85.5819720186467,44.28475454890332,68.93996584468715,116.30719013362307,143.63251514665785,12.102172927687935,94.63036210621354,87.5262542335712,93.83158057065496,26.500178986748683,61.82982949549613,106.0756072908702,48.9694413522628,43.1063568421964,99.07355730404234
ETH Zurich,15.302502663110378,16.75706898467437,6.238304015880546,2.3578545320000783,4.2326017129166535,17.712257715554045,7.124749131781911,16.02483432801475,5.661197400659676,9.901147190439254,1.5181381468137647,10.916092380435533,3.793491997682297,34.49736996809321,1.1623547369575025,1.8246696316304534,30.889491057945655,4.306867360766545,6.299334790373349,25.038159697760186
Nanyang Technological University,22.29543676222963,58.716145472377924,11.233184302943048,30.975985204870554,104.13866208443049,130.37466652912536,14.358310149755509,20.919940225620813,37.64120470255388,62.652216052212175,11.213381675921195,55.98529535242341,3.8020855235688513,11.686583111274942,15.9643771426768,9.272932708960738,23.256434883851323,40.64492797267823,18.969431010793105,15.004148660454877
University College London,1.1159574910891128,23.009927703494718,6.157285828153997,8.667696849870946,2.5169885570954715,19.820080282836727,11.761560379597281,2.8279042165104213,2.4216478249095386,4.836173432059166,2.5786845031804275,20.974124004662336,1.194121803839398,4.960081444204296,1.5569560079119071,1.2812546710581314,18.658935906357875,9.146204639650382,9.580817297369162,5.446061504051209
University of Cambridge,4.328808325019569,28.159674705177586,26.35790403123659,20.64341990056287,7.633811701226238,72.43665311274967,32.38921236689159,46.52874544369631,17.746875844730898,14.10257877893056,5.58165868238558,21.957264397698303,8.868274703763392,22.969836037729415,11.016706253541255,9.04584462036027,93.88633954122851,14.139975166471146,29.57515837612952,10.494736761357768
University of Pittsburgh,30.711697105210504,247.40657088373715,231.73401373703666,72.9479565911978,119.62093755658239,96.24321682877434,107.69772670200274,116.49423057382693,146.5635653125587,264.47786630554646,101.996390220268,120.32446480950932,61.319210429140085,112.27944636526848,194.02540612035864,108.84297795913483,215.01775222018648,167.8248510906466,235.56039044744557,179.1216525934783
Tsinghua University,18.27563575434218,47.61862644312434,24.013797887115775,17.117778134565896,23.182978066798817,51.073795923588904,14.500391714927435,21.805802669511017,21.998579649475005,37.723964120880915,5.156951071428306,17.026057391598073,7.669663426767098,25.21900098321102,7.321235905169658,7.02367718029955,53.85288543175564,30.043401969592036,37.207680396774,23.822964817106723
Northwestern University,17.99947456392106,85.93042502344213,42.53202209943949,28.158569422381685,29.616929975712218,172.54297394792064,58.40310734677638,60.190247684671085,46.254342321804884,55.032551412223725,12.419217573440829,82.87885631212814,10.30457843585476,34.844212573665885,24.026609373562156,28.3797729872622,77.18009058572879,33.33194887353882,25.72439703083357,106.07042504502189
Duke University,34.85630825734775,172.75364779338338,80.46213964126102,166.34500422425273,96.66153922483646,141.65432840957914,76.33787599816787,100.12743401624012,96.73352522313934,132.4598306481805,29.825258624842604,108.83777585405483,42.88068265334298,104.86530578986837,31.3022625267006,56.19412096861731,158.72667710127013,123.44075203799358,68.21408984493235,81.17583789795486
University of Washington,23.074882437764906,205.69331780344967,40.16589607907926,53.33912514164665,58.33136322993461,135.67035061798452,52.90187121452999,37.80090887032396,79.76320830814834,116.9397510014962,18.779617809840587,108.21824458481288,18.20872745612342,73.62913192507791,40.45519845016033,28.166850637235633,104.53607930612112,76.05214022867145,37.38399058092702,146.30600169362924
Harvard University,3.800833865173315,150.42175130272324,23.833102296629434,28.53150322442136,60.795017903769846,103.13584705379841,33.267285694303396,39.63931891597642,102.34922908374695,77.05563423271555,13.081333218036274,34.08502739375754,17.710444768815506,23.06703116397045,21.95349559153656,46.24708769827701,65.02948473028329,83.45058517602958,18.53903193328513,41.95403061881284
University of California Berkeley,10.200704403797392,200.11168593973028,18.20282164010798,152.5115502929911,24.087284430075925,113.94353408521039,39.168570361459864,29.48334572821393,56.20112095441,60.88987033901777,8.09151726175425,153.1122129915631,18.821137148351514,29.25828076540205,7.917993522596083,19.100149036858888,86.83561932568865,83.62912758693079,26.245252208878497,33.19206139146402
McGill University,2.4302004802037978,34.112627976343596,2.517176603426483,12.924118900298437,5.574197041740117,27.482191208626958,7.458424563763053,6.460638296239622,18.110666034840783,7.22815221919533,3.857105603803585,27.828187591402827,11.04703651566485,8.792794370865954,3.0207059395103513,3.4638811622484393,22.998512078693615,38.60935197915115,5.114382098504076,8.646434405283024
University of British Columbia,23.700089946418313,73.58455958656033,459.462950841423,171.35626259229932,141.86281783651867,152.7617072864171,507.60022874448043,92.35652966253019,17.181025772118517,131.40833715523308,343.78450253424853,132.30566024078144,24.792093895645813,237.77177673689198,222.01151553103728,66.44869825975448,240.06410285002096,281.37695091516497,832.6871993562529,163.23964691637676
National University of Singapore,7.958513983069764,84.2213757837579,25.66489346155982,40.713600684374974,63.285289076284926,61.91767358742635,29.440793371989702,16.4177854982386,33.587841490787376,17.593309984060106,3.576438495933226,43.96707516083396,4.415763150472533,33.89544877120898,4.737891942362198,6.692238473920284,43.66769342180292,29.288646718342434,24.43910402807996,25.082024546666375
University of California Los Angeles,55.157369879439955,295.737529650473,140.4604067547806,142.1560421768395,148.95806536272457,266.54554014408546,106.2122343380236,120.65464062739382,116.93986875548602,156.7334527857258,25.288927569318602,174.59297289293988,60.31222086890422,89.26413597597225,29.74293282408835,81.2407071887265,189.11231671876646,121.36497608163842,105.42544283023683,113.07548778894173
University of Pennsylvania,18.59859350567062,328.5466756377887,42.99341586157921,131.35046198791267,110.2882014249999,190.92302655114804,64.45590529635881,73.9532143448418,209.35495119642644,142.9360356691983,10.019836712131287,119.71868054235847,38.7137237752712,107.08641849047635,72.03318759412124,28.744433887384076,144.84432772878296,100.46368056035442,39.43260816027883,67.96786993518279
University of Hong Kong,4.673267136548679,23.25292476462098,5.771055038461778,12.86815031784667,3.8280277584688696,14.642303110288628,4.6058934596542915,7.735794377008721,7.01197619288692,7.2538973879940905,1.6325640320700847,18.15193008307591,14.582887253114325,6.202781407121909,13.135279939847234,3.4957789112625486,16.675305009487488,4.94559964342832,6.449956507577975,5.391777605787748
University of Michigan,27.395864899474873,252.22629644874218,73.17944085820083,50.3047989941555,158.790645983856,114.26941195726788,45.46986926530038,63.716010147206205,139.62502421889877,142.3601845570118,11.959832361234229,77.29858360542386,76.69440713035596,45.15458376292615,55.949175573709404,78.62335990199642,119.69124998184506,100.67566698661511,63.789927170240944,83.94866114800989
Cornell University,9.128192007869885,83.44395606213888,22.88228169001258,48.066513024047524,35.90034632205548,24.276609885841367,17.106109117288362,16.812509052827647,55.55066321934979,52.47144297745419,5.1046708868070505,27.25141718456565,34.18292242165318,25.519611763713563,14.103605578942457,31.364136052045367,37.19327130484152,30.022345812776976,17.933715137342265,44.950069837685675
Stanford University,26.27221820578327,350.15447572154204,33.045391044314044,251.22492902236797,58.10190925319974,91.8878956866537,76.3117515310795,152.66866939612848,53.84066130940933,105.58507519944051,15.618778176691132,259.05288120135924,21.728781812628007,130.4723243864694,31.553245999321124,32.16930451503791,206.16771711595356,118.21657115377486,39.73526906320568,55.94549010963475
Rice University,7.221364110678179,96.41042995042005,24.051186006858885,93.43275782358134,29.685864847330873,65.62875805012321,39.29755435835934,16.62695932947276,54.49623641071956,32.38727604553909,5.147064362968098,26.684042114733288,25.921097016738127,16.644067979659763,5.184977749152688,9.140304088444207,35.34942190155918,27.424940445786007,9.40288173491845,9.623853603072883
Carnegie Mellon University,7.789351700394395,51.86769445895114,13.168230921070826,10.783927442674916,4.846759906211922,73.23346495077493,20.979492426199315,84.48407926313484,44.55596734625313,28.688617910617886,3.7347527010560224,27.967025212085833,7.791313903954672,57.77943833087322,15.219322485826131,11.85529666334519,75.95449692574306,46.44778579656382,15.105938695896153,29.902288453690247
Imperial College London,14.657650385752161,87.40936936975322,41.25705896704139,54.64431393117826,19.56803830004285,104.00417122215842,59.51826312938664,77.7353340442854,59.29770958376674,55.6682780352544,11.614747497857358,64.0449164664874,11.045741512313183,39.708231248825264,30.89333707898644,47.04693802512132,141.34775658720298,43.95444212319683,28.963869551569758,60.03910759040162
University of Toronto,20.570705763730686,280.01562492894965,68.89625588048747,92.32215885988504,88.83944204208925,193.39373323682753,79.71548984317698,71.32987224995523,186.2746247892846,143.83061588094293,13.801380428378206,109.7962171511946,35.75111689188316,62.85363144848416,66.88200993827377,73.13411829965008,147.88867390260566,63.04009657314588,72.56325203261306,170.2152437577346
